Identifier,Study id,Season,Author,Year,Title,Country,Location,Method,Genus,Species,Temperature,1st central,1st lower,1st upper,2nd central,2nd lower,2nd upper,pre-gravid central,pre-gravid lower,pre-gravid upper,Location in article,Notes,Source,1st central detail,1st lower detail,1st upper detail,2nd central detail,2nd lower detail,2nd upper detail
1,1,NA,Gillies and Wilkes,1965,A study of the age-composition of populations of anopheles gambiae giles and a. funestus giles in north-eastern Tanzania,Tanzania,Muheza,MRR,Anopheles,gambiae,,3.5,3,4,3,,,1.5,1,2,"249, 250",,pdf,Halfway between lower and upper,0.025,0.975,0.5,NA,NA
2,1,NA,Sheppard et al.,1969,The Dynamics of an Adult Population of Aedes aegypti in Relation to Dengue Haemorrhagic Fever in Bangkok,Thailand,Bangkok,MRR,Aedes,aegypti,,3,,,3,,,,,,670,,pdf,0.5,NA,NA,0.5,NA,NA
3,1,NA,De Meillon et al.,1967,"Time of Arrival of Gravid Culex pipiens fatigans at an Oviposition Site, the Oviposition Cycle and the Relationship between Time of Feeding and Time of Oviposition",Myanmar,Rangoon,Laboratory,Culex,quinquefasciatus,,2.75,2.4,2.9,2.75,2.4,2.9,,,,42,From text not table,pdf,0.5,0.025,0.975,0.5,0.025,0.975
4,1,Hot,Pant and Yasuno,1973,"Field Studies on the Gonotrophic Cycle of Aedes Aegypti in Bangkok, Thailand",Thailand,Bangkok,MRR,Aedes,aegypti,,3,,,3,,,,,,NA,Hot,Abstract,0.5,NA,NA,0.5,NA,NA
4,2,Cool,Pant and Yasuno,1973,"Field Studies on the Gonotrophic Cycle of Aedes Aegypti in Bangkok, Thailand",Thailand,Bangkok,MRR,Aedes,aegypti,,4.5,4,5,4.5,4,5,,,,NA,Cool,Abstract,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
5,1,NA,Germain et al.,1974,"Évaluation de la durée du cycle trophogonique d’ Aedes ojhkmzz~s (Théobald), vecteur potentiel de fièvre jaune, dans une galerie forestière du sud de la République Centrafricaine",CAR,Bozo,MRR,Aedes,africanus,,7,4,10,7,4,10,,,,132,From text,pdf,0.5,0.025,0.975,0.5,0.025,0.975
6,1,NA,Lowe et al.,1973,Reproductive behaviour of Culex pipiens quinquefasciatus released into a natural population,NA,NA,MRR,Culex,quinquefasciatus,,3.5,3,4,3.5,3,4,1.5,1,2,NA,,Silver (2007) p 1200,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
7,1,NA,Fernandez-Salas,1994,Gonotrophic Cycle and Survivorship of Anopheles pseudopunctipennis (Diptera: Culicidae) in the Tapachula Foothills of Southern Mexico,Mexico,Tapachula,MRR,Anopheles,pseudopunctipennis,,3,,,3,,,,,,NA,,Abstract,0.5,NA,NA,0.5,NA,NA
8,1,NA,Buei et al.,1980,Field studies on the gonotrophic cycle of Culex tritaeniorhynchus,Japan,Izumi,MRR,Culex,tritaeniorhynchus,,2.9,,,2.9,,,2.6,,,"59, 60",2.6 days from emergence to first blood ingestion,pdf,0.5,NA,NA,0.5,NA,NA
9,1,NA,Rawlings and Curtis,1982,Tests for the existence of genetic variability in the tendency of Anopheles culicifacies species B to rest in houses and to bite man,Sri Lanka,Angun ara,MRR,Anopheles,culcifacies,,2.3,1,3,2.3,1,3,,,,429,From text,pdf,0.5,0.025,0.975,0.5,0.025,0.975
10,1,NA,Mori and Wada,1977,The gonotrophic cycle of Aedes albopticus in the field.,Japan,nagasaki,MRR,Aedes,albopictus,,5,,,5,,,2,2,2,NA,,Abstract,0.5,NA,NA,0.5,NA,NA
11,1,NA,Sempala,1981,The ecology of Aedes (Stegomyia) africanus Theobald in a tropical forest in Uganda: Mark–release–recapture studies on a female adult population,Uganda,Zika forest,MRR,Aedes,africanus,,5.5,5,6,5.5,5,6,,,,NA,,Abstract,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
12,1,All year,Reisen et al.,1983,"Population ecology of Culex tarsalis (Diptera: Culicidae) in a foothill environment in Kern county, California: Temporal changes in female relative abundance, reproductive status, and survivorship",USA,Sierra nevada,MRR,Culex,tarsalis,,4,,,4,,,2,,,NA,6 days is total nulliparous period,Abstract,0.5,NA,NA,0.5,NA,NA
13,1,NA,Birley and Charlwood,1989,"The effect of moonlight and other factors on the oviposition cycle of malaria vectors in Madang, Papua New Guinea",Papua new guinea,NA,MRR,Anopheles,various,,2.22,2.04,2.4,2.22,2.04,2.4,,,,NA,Mix of anopheline species,Abstract,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
14,1,December-January,Suzuki,1977,Preliminary studies on blood meal interval of Aedes polynesiensis in the field,Fiji,Suava,MRR,Aedes,polynesiensis,28,3.5,3,4,3.5,3,4,,,,172,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
15,1,NA,Charlwood and Bryan,1987,A mark-recapture experiment with the filariasis vector Anopheles punctulatus in Papua New Guinea,Papua new guinea,Yauatong,MRR,Anopheles,punctulatus,,2.9,,,2.9,,,,,,431,,pdf,0.5,NA,NA,0.5,NA,NA
16,1,Various,Charlwood and Graves,1986,Capture recapture studies of females of the anopheles punctulatus group,Papua new guinea,Madang,MRR,Anopheles,punctulatus,,2.7,3.36,2.04,2.7,3.36,2.04,,,,223,Raw data available. Lower and upper are from Given +- sd,pdf,0.5,0.16,0.84,0.5,0.16,0.84
16,2,Various,Charlwood and Graves,1986,Capture recapture studies of females of the anopheles punctulatus group,Papua new guinea,Madang,MRR,Anopheles,punctulatus,,3.7,4.7,2.7,3.7,4.7,2.7,,,,223,Raw data available. Lower and upper are from Given +- sd,pdf,0.5,0.16,0.84,0.5,0.16,0.84
16,3,Various,Charlwood and Graves,1986,Capture recapture studies of females of the anopheles punctulatus group,Papua new guinea,Madang,MRR,Anopheles,koliensis,,2.9,3.9,1.9,2.9,3.9,1.9,,,,223,Raw data available. Lower and upper are from Given +- sd,pdf,0.5,0.16,0.84,0.5,0.16,0.84
16,4,Various,Charlwood and Graves,1986,Capture recapture studies of females of the anopheles punctulatus group,Papua new guinea,Madang,MRR,Anopheles,koliensis,,2.4,2.9,1.9,2.4,2.9,1.9,,,,223,Raw data available. Lower and upper are from Given +- sd,pdf,0.5,0.16,0.84,0.5,0.16,0.84
16,5,Various,Charlwood and Graves,1986,Capture recapture studies of females of the anopheles punctulatus group,Papua new guinea,Madang,MRR,Anopheles,koliensis,,3.2,3.8,2.6,3.2,3.8,2.6,,,,223,Raw data available. Lower and upper are from Given +- sd,pdf,0.5,0.16,0.84,0.5,0.16,0.84
16,6,Various,Charlwood and Graves,1986,Capture recapture studies of females of the anopheles punctulatus group,Papua new guinea,Madang,MRR,Anopheles,farauti,,3,3.67,2.33,3,3.67,2.33,,,,223,Raw data available. Lower and upper are from Given +- sd,pdf,0.5,0.16,0.84,0.5,0.16,0.84
16,7,Various,Charlwood and Graves,1986,Capture recapture studies of females of the anopheles punctulatus group,Papua new guinea,Madang,MRR,Anopheles,farauti,,2.1,2.45,1.75,2.1,2.45,1.75,,,,223,Raw data available. Lower and upper are from Given +- sd,pdf,0.5,0.16,0.84,0.5,0.16,0.84
17,1,1978 April,Charlwood and Wilkes,1979,Studies on the age-composition of samples of Anopheles darlingi Root (Diptera: Culicidae) in Brazil,Brazil,Aripuana,MRR,Anopheles,darlingi,,3,,,3,,,,,,341,This really is a lower bound estimate,pdf,0.5,NA,NA,0.5,NA,NA
18,1,Various,Charlwood et al.,1995,The rise and fall of Anopheles arabiensis in a Tanzanian village,Tanzania,Namawala,MRR,Anopheles,gambiae,,2.7,,,2.7,,,,,,41,,pdf,0.5,NA,NA,0.5,NA,NA
19,1,Various,Chang et al.,1991,"Comparative transmission potential of three Mansonia spp. (Diptera: Culicidae) for filariasis in Sarawak, Malaysia",Malaysia,Sarawak,MRR,Mansonia,uniformis,,4,,,4,,,,,,441,Actually from Chang 1985,pdf,0.5,NA,NA,0.5,NA,NA
20,1,Various,Edalat et al.,2015,"Vectorial capacity and Age determination of Anopheles
Stephens Liston (Diptera: Culicidae), during the
malaria transmission in Southern Iran",Iran,Bandar-Abbas,Laboratory,Anopheles,stephensi,,3.8,,,3.8,,,,,,259,,pdf,0.5,NA,NA,0.5,NA,NA
21,1,Various,Fabio,2011,"Survivorship of Anopheles darlingi (Diptera: Culicidae) in
Relation with Malaria Incidence in the Brazilian Amazon",Brazil,Roraino´polis,Dissection of wild caught specimens to determine state of ovarioles,Anopheles,darlingi,,2.31,2.19,2.43,2.31,2.19,2.43,,,,Table 2,"Lower bound is July, upper is Jan",pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
22,1,NA,Samarawickrema,1968,BITING CYCLES AND PARITY OF THE MOSQUITO MANSONIA (MANSONIOIDES) UNIFORMIS (THEO.) IN CEYLON,Sri Lanka,Colombo,Laboratory,Mansonia,uniformis,,4,,,4,,,,,,311,Actually from Wharton 1962,pdf,0.5,NA,NA,0.5,NA,NA
23,1,Various,Samarawickrema,1967,"A Study of the Age-composition of Natural
Populations of Culex pip/ens fatigans Wiedemann
in Relation to the Transmission of Filariasis
due to Wuchereria bancrofti (Cobbold) in Ceylon",Sri Lanka,Peliyagoda,MRR,Culex,quinquefasciatus,,3.5,3,4,3.5,3,4,,,,130,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
