Identifier,Physiological experiment id,Date id,Genus,Species,Collection method,Control,Start date,End date,Pre-gravid,Nulliparous,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P,>threshold,Total,Total in paper if different,Threshold,Table number,Figure number,Digitise,Note,ID -- concat
1,1,1,Anopheles,minimus,NA,1,NA,NA,,722,472,210,123,72,32,18,7,3,3,,,,,1662,1663,,,,0,,1 1
2,1,1,Anopheles,darlingi,Human-landing,1,04/01/1978,21/04/1978,,408,176,133,47,8,2,1,0,0,0,,,,,775,775,,2,,0,,2 1
3,1,1,Mansonia,bonnae,Human-landing,1,11/01/1983,10/01/1984,,1840,1619,1095,740,,,,,,,,,,,5294,,,,2A,1,,3 1
3,2,1,Mansonia,dives,Human-landing,1,11/01/1983,10/01/1984,,458,389,308,223,,,,,,,,,,,1378,,,,2C,1,,3 2
4,1,1,Anopheles,gambiae,Indoor resting,1,09/01/1992,31/10/1992,,24,12,6,3,1,,,,,,,,,,46,46,,0,2,1,Funestus from MRR!,4 1
4,2,1,Anopheles,gambiae,Indoor resting,1,09/01/1992,31/10/1992,,33,25,15,5,1,,,,,,,,,,79,80,,,2,1,,4 2
5,1,1,Anopheles,stephensi,Various,1,06/01/2010,30/06/2010,,145,100,24,18,4,3,2,0,0,0,,,,,296,296,,5,,0,,5 1
6,1,1,Anopheles,darlingi,Human-landing,1,01/01/2004,31/01/2004,,53,40,30,17,3,1,,,,,,,,,144,144,,6,,0,,6 1
6,1,2,Anopheles,darlingi,Human-landing,1,01/07/2004,31/07/2004,,185,38,18,8,1,0,,,,,,,,,250,250,,6,,0,,6 1
7,1,1,Anopheles,gambiae,Human landing,1,NA,NA,,150,130,73,35,16,4,3,0,,,,,,0,411,,8,1,,0,,7 1
7,2,1,Anopheles,gambiae,Indoor resting,1,NA,NA,,715,612,340,221,128,65,28,18,,,,,,19,2146,NA,8,1,,0,,7 2
7,3,1,Anopheles,gambiae,Light trap,1,NA,NA,,823,657,345,197,94,57,37,13,,,,,,7,2230,NA,8,1,,0,,7 3
7,4,1,Anopheles,gambiae,Pit trap,1,NA,NA,,92,31,14,3,0,0,0,2,,,,,,0,142,NA,8,1,,0,,7 4
8,1,1,Anopheles,gambiae,Various,1,NA,NA,,127,115,65,44,18,15,7,2,1,,,,,,394,,,,4,1,Mindu before DDT,8 1
8,2,1,Anopheles,gambiae,Various,0,NA,NA,,71,16,4,2,2,1,,,,,,,,,96,,,,4,1,Mindu after DDT,8 2
8,3,1,Anopheles,gambiae,Various,1,NA,NA,,115,56,29,18,5,5,2,,,,,,,,230,,,,4,1,Mlingano before nets,8 3
8,4,1,Anopheles,gambiae,Various,0,NA,NA,,91,49,12,3,1,,,,,,,,,,156,,,,4,1,Mlingano after nets,8 4
8,5,1,Anopheles,gambiae,Various,1,NA,NA,,464,365,187,100,59,32,15,7,3,,,,,,1232,,,,4,1,Mngaza before nets,8 5
8,6,1,Anopheles,gambiae,Various,0,NA,NA,,464,287,121,38,8,3,1,1,2,,,,,,925,,,,4,1,Mngaza after nets,8 6
9,1,1,Anopheles,gambiae,Light trap,1,NA,NA,,41,38,13,5,,,,,,,,,,3,100,101,4,,4,1,Mn location,9 1
9,2,1,Anopheles,gambiae,Human landing,1,NA,NA,,53,48,20,7,,,,,,,,,,4,132,133,4,,4,1,Mn location,9 2
9,3,1,Anopheles,gambiae,Light trap,1,NA,NA,,7,11,6,3,,,,,,,,,,6,33,33,4,,4,1,Km location,9 3
9,4,1,Anopheles,gambiae,Human landing,1,NA,NA,,26,34,21,11,,,,,,,,,,10,102,102,4,,4,1,Km location,9 4
9,5,1,Anopheles,gambiae,Light trap,1,NA,NA,,14,8,2,3,,,,,,,,,,2,29,29,4,,4,1,MI location,9 5
9,6,1,Anopheles,gambiae,Human landing,1,NA,NA,,30,12,9,7,,,,,,,,,,3,61,62,4,,4,1,MI location,9 6
10,1,1,Anopheles,cruzii,Human landing,1,01/05/1994,30/09/1994,5,2,1,0,,,,,,,,,,,,8,,,2,,0,Indoor,10 1
10,1,2,Anopheles,cruzii,Human landing,1,01/10/1994,30/04/1995,64,4,28,0,,,,,,,,,,,,96,,,2,,0,Indoor,10 1
10,2,1,Anopheles,cruzii,Human landing,1,01/05/1994,30/09/1994,55,5,22,0,,,,,,,,,,,,82,,,2,,0,Outdoor,10 2
10,2,2,Anopheles,cruzii,Human landing,1,01/10/1994,30/04/1995,171,4,91,1,,,,,,,,,,,,267,,,2,,0,Outdoor,10 2
10,3,1,Anopheles,bellator,Human landing,1,01/05/1994,30/09/1994,37,8,7,0,,,,,,,,,,,,52,,,3,,0,Indoor,10 3
10,3,2,Anopheles,bellator,Human landing,1,01/10/1994,30/04/1995,263,28,93,0,,,,,,,,,,,,384,,,3,,0,Indoor,10 3
10,4,1,Anopheles,bellator,Human landing,1,01/05/1994,30/09/1994,188,11,61,0,,,,,,,,,,,,260,,,3,,0,Outdoor,10 4
10,4,2,Anopheles,bellator,Human landing,1,01/10/1994,30/04/1995,579,12,263,2,,,,,,,,,,,,856,,,3,,0,Outdoor,10 4
12,1,1,Culex,quinquefasciatus,Indoor resting,1,01/01/1962,31/01/1962,,80,75,8,2,0,,,,,,,,,,165,165,,1,,0,Peliyagoda,12 1
12,1,2,Culex,quinquefasciatus,Indoor resting,1,01/02/1962,28/02/1962,,54,50,21,5,0,,,,,,,,,,130,130,,1,,0,Peliyagoda,12 1
12,1,3,Culex,quinquefasciatus,Indoor resting,1,01/03/1962,31/03/1962,,63,68,25,6,1,,,,,,,,,,163,163,,1,,0,Peliyagoda,12 1
12,1,4,Culex,quinquefasciatus,Indoor resting,1,01/04/1962,30/04/1962,,88,95,41,7,0,,,,,,,,,,231,231,,1,,0,Peliyagoda,12 1
12,1,5,Culex,quinquefasciatus,Indoor resting,1,01/05/1962,31/05/1962,,110,60,18,1,0,,,,,,,,,,189,189,,1,,0,Peliyagoda,12 1
12,1,6,Culex,quinquefasciatus,Indoor resting,1,01/06/1962,30/06/1962,,128,69,28,0,0,,,,,,,,,,225,225,,1,,0,Peliyagoda,12 1
12,1,7,Culex,quinquefasciatus,Indoor resting,1,01/07/1962,31/07/1962,,82,42,9,1,0,,,,,,,,,,134,134,,1,,0,Peliyagoda,12 1
12,1,8,Culex,quinquefasciatus,Indoor resting,1,01/08/1962,31/08/1962,,64,32,10,1,0,,,,,,,,,,107,107,,1,,0,Peliyagoda,12 1
12,1,9,Culex,quinquefasciatus,Indoor resting,1,01/09/1962,30/09/1962,,99,59,14,1,0,,,,,,,,,,173,173,,1,,0,Peliyagoda,12 1
12,1,10,Culex,quinquefasciatus,Indoor resting,1,01/10/1962,31/10/1962,,121,88,20,0,0,,,,,,,,,,229,229,,1,,0,Peliyagoda,12 1
12,1,11,Culex,quinquefasciatus,Indoor resting,1,01/11/1962,30/11/1962,,155,102,30,5,2,,,,,,,,,,294,294,,1,,0,Peliyagoda,12 1
12,1,12,Culex,quinquefasciatus,Indoor resting,1,01/12/1962,31/12/1962,,88,39,15,1,0,,,,,,,,,,143,143,,1,,0,Peliyagoda,12 1
12,1,13,Culex,quinquefasciatus,Indoor resting,1,01/01/1963,31/01/1963,,163,124,42,6,1,,,,,,,,,,336,336,,1,,0,Peliyagoda,12 1
