Identifier,Author,Year,Title,Physiological age,Parity-only,Gonotrophic cycle length estimate,Country,Location,Start date,End date,Insecticide,Wild caught,MRR alongside,Collection method,Collection location,Number of full physiological age series,Number of date series,Access,Requires digitisation,Notes,Other interesting data
1,Catangui,1971,Studies on the gonotrophic cycle of Anopheles minimus ftavirostris and the application of physiological age grading technique on the same species,1,0,3.5,Philippines,Tala,NA,NA,NA,1,0,Animal bait,NA,1,1,https://www.cabdirect.org/cabdirect/abstract/19721002219,0,,
2,"Charlwood, Wilkes",1979,Studies on the age-composition of samples of Anopheles darlingi Root (Diptera: Culicidae) in Brazil,1,1,3,Brazil,Aripuana,04/01/78,21/04/78,0,1,0,Human-landing catches,Outside,1,1,pdf,0,"Shelter was given to catchers, but was a cassava hut without walls, so classify as outside.","Biting patterns by time of day, sac stages of females"
3,Chang et al.,1991,"Comparative transmission potential of
three Mansonia spp. (Diptera: Culicidae)
for filariasis in Sarawak, Malaysia",1,1,4,Malaysia,Kampung Sebangkoi,11/01/83,10/01/84,NA,1,0,"Human-landing catches, resting bloodfed females","Inside, outside",2,2,pdf,1,,"Biting patterns by time of day, infection rates for inside and outside, bites per person per year, number of larvae per mosquito"
4,Charlwood,2000,"DRY SEASON REFUGIA OF MALARIA-TRANSMITTING MOSQUITOES IN A DRY
SAVANNAH ZONE OF EAST AFRICA",1,0,NA,Tanzania,Kilombero valley,09/01/92,31/10/92,0,1,1,"Human-landing catches, indoor resting","Inside, outside",2,3,pdf,1,Funestus series is from MRR!,
5,Edalat et al.,2015,"Vectorial capacity and Age determination of Anopheles
Stephens Liston (Diptera: Culicidae), during the
malaria transmission in Southern Iran",1,1,4,Iran,Bandar-Abbas,06/01/10,30/06/10,1,1,0,Human-landing catches,"Inside, outside",1,1,pdf,0,Dates differ for parity estimates,Parity by collection method
6,Fabio,2011,"Survivorship of Anopheles darlingi (Diptera: Culicidae) in
Relation with Malaria Incidence in the Brazilian Amazon",1,1,2.341160221,Brazil,Roraino´polis,26/06/05,26/06/05,0,1,0,1,NA,2,2,pdf,0,"Gonotrophic cycle length is average of two monthly estimates. Unclear what sort of ‘landing’ catches were used, but have assumed human.",Malaria prevalence data. Weather data. Detailed intra-gonotrophic data.
7,Lines et al.,1991,"Human malaria infectiousness measured by age-specific
sporozoite rates in Anopheles gambiae in Tanzania",1,0,NA,Tanzania,Muheza,NA,NA,NA,1,0,Various,Inside,4,4,pdf,0,"On p168 it says that almost all mosquitoes were captured from indoor catches, with a few from outdoors. Therefore assign indoors.","Physiological ages were also given by location, and broken down by whether the mosquitoes were sporozoite-positive"
8,Magesa et al.,1991,"Trial of pyrethroid impregnated bednets in an area
of Tanzania holoendemic for malaria
Part 2. Effects on the malaria vector population",1,0,NA,Tanzania,Muheza,NA,NA,1,1,0,"Human-landing catches, light","Inside, outside",6,6,pdf,1,Parity only are derived from physiological age estimates,Sporozoite data before and after spraying. Blood meal identity before and after spraying.
9,Lines et al.,1991,"Monitoring human-biting mosquitoes
(Diptera: Culicidae) in Tanzania with
light-traps hung beside mosquito nets",1,0,NA,Tanzania,Muheza,NA,NA,0,1,0,"Human-landing catches, light","Inside, outside",6,6,pdf,1,Parity unclear what numbers were,
10,Forattini et al.,1996,"Studies on mosquitoes (Diptera: Culicidae) and
anthropic environment. 11 - Biting activity and
blood-seeking parity of Anopheles (Kerteszia) in
South-Eastern Brazil*",1,0,NA,Brazil,Cananéia,01/01/94,31/12/94,NA,1,0,Human-landing catches,"Inside, outside",4,8,pdf,0,Good explanation of dissection and reference to Christophers stages.,Numbers collected by month by outside/inside
11,"Garrett-Jones, Shidrawi",1969,Malaria Vectorial Capacity of a Population of Anopheles gambiae,0,1,NA,Nigeria,Kankiya,05/01/67,31/12/67,With and without,1,0,"Human-landing catches, indoor resting","Inside, outside",0,0,pdf,0,Physiological ages are from Gillies in Muheza previous study!,
12,Samarawickrema,1967,"A Study of the Age-composition of Natural
Populations of Culex pip/ens fatigans Wiedemann
in Relation to the Transmission of Filariasis
due to Wuchereria bancrofti (Cobbold) in Ceylon",1,0,3.5,Sri Lanka,Peliyagoda,05/01/67,31/12/63,NA,1,1,House-resting,Inside,2,45,pdf,0,Physiological ages by capture time of day,
13,Samarawickrema,1968,BITING CYCLES AND PARITY OF THE MOSQUITO MANSONIA (MANSONIOIDES) UNIFORMIS (THEO.) IN CEYLON,1,0,4,Sri Lanka,Colombo,01/02/61,01/07/62,NA,1,0,"Human-landing catches, animal-bait",Outside,2,13,pdf,0,Physiological ages by capture time of day,
14,De barros et al.,2007,"Parity and age composition for Anopheles darlingi Root (Diptera: Culicidae)
and Anopheles albitarsis Lynch-Arribálzaga (Diptera: Culicidae) of the northern
Amazon Basin, Brazil",1,1,2.5,Brazil,Roraima state,01/11/03,01/07/04,NA,1,0,Human-landing catches,"Inside, outside",4,4,pdf,0,"Physiological ages by capture time of day, Christopher and Mer’s stages of follicular development",
15,Charlwood et al.,1985,ASSESSING SURVIVAL RATES OF ANOPHELES FARAUTI (DIPTERA: CULICIDAE) FROM PAPUA NEW GUINEA,1,0,2.335,Papua New Guinea,Bilbil,01/01/82,31/10/82,NA,1,0,"Human-landing catches, animal-bait, CDC",Outside,2,2,pdf,0,Physiological age by trapping method,
